日期,美元,欧元,日元,港元,英镑,澳元,新西兰元,新加坡元,瑞士法郎,加元,澳门元,林吉特,卢布,兰特,韩元,迪拉姆,里亚尔,福林,兹罗提,丹麦克朗,瑞典克朗,挪威克朗,里拉,比索,泰铢
1994-01-01,870.0,,7.78,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-03,870.0,,7.78,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-04,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-05,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-06,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-07,869.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-08,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-10,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-11,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-12,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-13,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-14,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-15,870.0,,7.8414,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-17,870.0,,7.8414,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-18,870.0,,7.8414,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-19,870.0,,7.8414,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-20,870.0,,7.8414,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-21,870.0,,7.8414,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-22,870.0,,7.7957,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-24,870.0,,7.7957,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-25,871.0,,7.7957,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-26,870.0,,7.8424,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-27,870.0,,7.9023,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-28,870.0,,8.0111,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-29,870.0,,7.9235,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-31,870.0,,7.9235,112.66,,,,,,,,,,,,,,,,,,,,,
1994-02-01,869.94,,8.0142,112.66,,,,,,,,,,,,,,,,,,,,,
1994-02-02,870.1,,8.0831,112.66,,,,,,,,,,,,,,,,,,,,,
1994-02-03,870.34,,8.0831,112.66,,,,,,,,,,,,,,,,,,,,,
1994-02-04,870.1,,8.0831,112.63,,,,,,,,,,,,,,,,,,,,,
1994-02-05,870.05,,7.9638,112.64,,,,,,,,,,,,,,,,,,,,,
