日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2001-12-27,693,,,,,,
2001-12-28,691,-0.28860029,,,,,
2002-01-02,688,-0.4341534,,,,,
2002-01-03,687,-0.14534884,,,,,
2002-01-04,687,0.0,,,,,
2002-01-07,694,1.01892285,,,,,
2002-01-08,693,-0.14409222,,,,,
2002-01-09,687,-0.86580087,,,,,
2002-01-10,689,0.29112082,,,,,
2002-01-11,686,-0.43541364,,,,,
2002-01-14,685,-0.14577259,,,,,
2002-01-15,680,-0.72992701,,,,,
2002-01-16,689,1.32352941,,,,,
2002-01-17,688,-0.14513788,,,,,
2002-01-18,687,-0.14534884,,,,,
2002-01-21,687,0.0,,,,,
2002-01-22,686,-0.14556041,,,,,
2002-01-23,685,-0.14577259,,,,,
2002-01-24,689,0.58394161,,,,,
2002-01-25,684,-0.7256894,,,,,
2002-01-28,685,0.14619883,,,,,
2002-01-29,687,0.2919708,,,,,
2002-01-30,688,0.14556041,,,,,
2002-01-31,692,0.58139535,,,,,
2002-02-01,694,0.28901734,,,,,
2002-02-04,667,-3.89048991,,,,,
2002-02-05,673,0.89955022,,,,,
2002-02-06,674,0.14858841,,,,,
2002-02-07,678,0.59347181,,,,,
2002-02-08,680,0.29498525,,,,,
2002-02-11,682,0.29411765,,,,,
2002-02-12,681,-0.14662757,,,,,
2002-02-13,679,-0.29368576,,,,,
2002-02-14,679,0.0,,,,,
2002-02-15,679,0.0,,,,,
2002-02-18,679,0.0,,,,,
2002-02-19,681,0.29455081,,,,,
2002-02-20,682,0.14684288,,,,,
2002-02-21,683,0.14662757,,,,,
2002-02-22,684,0.14641288,,,,,
2002-02-25,680,-0.58479532,,,,,
2002-02-26,680,0.0,,,,,
2002-02-27,681,0.14705882,,,,,
2002-02-28,684,0.44052863,,,,,
2002-03-01,685,0.14619883,,,,,
2002-03-04,687,0.2919708,,,,,
2002-03-05,687,0.0,,,,,
2002-03-06,686,-0.14556041,,,,,
2002-03-07,685,-0.14577259,,,,,
2002-03-11,685,0.0,,,,,
2002-03-12,686,0.1459854,,,,,
2002-03-13,684,-0.29154519,,,,,
2002-03-14,681,-0.43859649,,,,,
2002-03-15,680,-0.14684288,,,,,
2002-03-18,683,0.44117647,,,,,
2002-03-19,680,-0.43923865,,,,,
2002-03-20,677,-0.44117647,,,,,
2002-03-21,675,-0.29542097,,,,,
2002-03-22,680,0.74074074,,,,,
2002-03-25,677,-0.44117647,,,,,
2002-03-26,675,-0.29542097,,,,,
2002-03-27,682,1.03703704,-1.58730159,,,,
2002-03-28,689,1.02639296,-0.2894356,,,,
2002-04-02,692,0.43541364,0.58139535,,,,
2002-04-03,703,1.58959538,2.32896652,,,,
2002-04-04,722,2.7027027,5.09461426,,,,
2002-04-05,727,0.69252078,5.8224163,,,,
2002-04-08,732,0.68775791,5.62770563,,,,
2002-04-09,732,0.0,6.55021834,,,,
2002-04-10,727,-0.68306011,5.51523948,,,,
2002-04-11,730,0.41265475,6.41399417,,,,
2002-04-12,731,0.1369863,6.55976676,,,,
2002-04-15,727,-0.54719562,6.91176471,,,,
2002-04-16,722,-0.68775791,4.78955007,,,,
2002-04-17,722,0.0,4.94186047,,,,
2002-04-18,725,0.41551247,5.53129549,,,,
2002-04-19,747,3.03448276,8.73362445,,,,
2002-04-22,742,-0.66934404,8.16326531,,,,
2002-04-23,747,0.67385445,9.05109489,,,,
2002-04-24,751,0.53547523,8.99854862,,,,
2002-04-25,754,0.39946738,10.23391813,,,,
2002-04-26,752,-0.26525199,9.94152047,,,,
2002-04-29,751,-0.13297872,9.31586608,,,,
2002-04-30,747,-0.53262317,7.94797688,,,,
2002-05-01,752,0.66934404,8.3573487,,,,
2002-05-02,751,-0.13297872,8.21325648,,,,
2002-05-03,749,-0.26631158,7.92507205,,,,
2002-05-07,747,-0.2670227,10.17699115,,,,
2002-05-08,737,-1.33868809,8.38235294,,,,
2002-05-09,730,-0.94979647,7.35294118,,,,
2002-05-10,725,-0.68493151,6.61764706,,,,
2002-05-13,723,-0.27586207,6.48011782,,,,
2002-05-14,716,-0.96818811,5.44918999,,,,
2002-05-15,716,0.0,5.44918999,,,,
2002-05-16,716,0.0,5.44918999,,,,
2002-05-17,716,0.0,5.44918999,,,,
2002-05-20,721,0.69832402,5.71847507,,,,
2002-05-21,721,0.0,5.5636896,,,,
2002-05-22,731,1.38696255,6.87134503,,,,
2002-05-23,734,0.41039672,7.30994152,,,,
